,Acquired Immunodeficiency Syndrome,Adenocarcinoma,Alzheimer Disease,"Arthritis, Rheumatoid",Astrocytoma,Atherosclerosis,Autistic Disorder,Beckwith-Wiedemann Syndrome,Bipolar Disorder,Breast Neoplasms,"Carcinoma, Basal Cell","Carcinoma, Hepatocellular","Carcinoma, Non-Small-Cell Lung","Carcinoma, Renal Cell","Carcinoma, Squamous Cell",Cardiomegaly,Cardiovascular Diseases,Choriocarcinoma,Colonic Neoplasms,Colorectal Neoplasms,Coronary Disease,"Depressive Disorder, Major",Diabetes Mellitus,"Diabetes Mellitus, Type 2",DiGeorge Syndrome,Down Syndrome,Endometrial Neoplasms,Esophageal Neoplasms,Fetal Alcohol Spectrum Disorders,Fragile X Syndrome,Gastrointestinal Stromal Tumors,Glioblastoma,Glioma,HIV Infections,Huntington Disease,Inflammatory Bowel Diseases,Intracranial Aneurysm,Kidney Neoplasms,Leukemia,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Myeloid, Acute","Leukemia, T-Cell",Lithiasis,Liver Neoplasms,Lung Neoplasms,Lymphoma,"Lymphoma, B-Cell",Melanoma,Meningioma,"Muscular Dystrophy, Duchenne",Myocardial Infarction,Nervous System Diseases,Neuroblastoma,Neurodegenerative Diseases,"Neurofibroma, Plexiform",Neurofibromatosis 1,Osteosarcoma,Ovarian Neoplasms,Pancreatic Neoplasms,Parkinson Disease,Parotid Neoplasms,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Prostatic Hyperplasia,Prostatic Neoplasms,Pseudohypoaldosteronism,Psoriasis,Psychotic Disorders,Rhabdomyosarcoma,Schizophrenia,Stomach Neoplasms,Stroke,Thyroid Neoplasms,Tongue Neoplasms,Urinary Bladder Neoplasms,Uterine Cervical Neoplasms,Uterine Neoplasms,Vascular Malformations,Wilms Tumor
7sk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
h19,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
bace1as,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc200,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
anril,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
disc2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
igf2as,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kcnq1ot1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ahif,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bc1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cdkn1c-as,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gas5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
