,Acquired Immunodeficiency Syndrome,Adenocarcinoma,Alzheimer Disease,"Arthritis, Rheumatoid",Astrocytoma,Atherosclerosis,Autistic Disorder,Beckwith-Wiedemann Syndrome,Bipolar Disorder,Breast Neoplasms,"Carcinoma, Basal Cell","Carcinoma, Hepatocellular","Carcinoma, Non-Small-Cell Lung","Carcinoma, Renal Cell","Carcinoma, Squamous Cell",Cardiomegaly,Cardiovascular Diseases,Choriocarcinoma,Colonic Neoplasms,Colorectal Neoplasms,Coronary Disease,"Depressive Disorder, Major",Diabetes Mellitus,"Diabetes Mellitus, Type 2",DiGeorge Syndrome,Down Syndrome,Endometrial Neoplasms,Esophageal Neoplasms,Fetal Alcohol Spectrum Disorders,Fragile X Syndrome,Gastrointestinal Stromal Tumors,Glioblastoma,Glioma,HIV Infections,Huntington Disease,Inflammatory Bowel Diseases,Intracranial Aneurysm,Kidney Neoplasms,Leukemia,"Leukemia, Lymphocytic, Chronic, B-Cell","Leukemia, Myeloid, Acute","Leukemia, T-Cell",Lithiasis,Liver Neoplasms,Lung Neoplasms,Lymphoma,"Lymphoma, B-Cell",Melanoma,Meningioma,"Muscular Dystrophy, Duchenne",Myocardial Infarction,Nervous System Diseases,Neuroblastoma,Neurodegenerative Diseases,"Neurofibroma, Plexiform",Neurofibromatosis 1,Osteosarcoma,Ovarian Neoplasms,Pancreatic Neoplasms,Parkinson Disease,Parotid Neoplasms,Pheochromocytoma,Pituitary Neoplasms,Prader-Willi Syndrome,Precursor Cell Lymphoblastic Leukemia-Lymphoma,Prostatic Hyperplasia,Prostatic Neoplasms,Pseudohypoaldosteronism,Psoriasis,Psychotic Disorders,Rhabdomyosarcoma,Schizophrenia,Stomach Neoplasms,Stroke,Thyroid Neoplasms,Tongue Neoplasms,Urinary Bladder Neoplasms,Uterine Cervical Neoplasms,Uterine Neoplasms,Vascular Malformations,Wilms Tumor
Acquired Immunodeficiency Syndrome,1,0,0,0.049484536,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0.013035382,0,0,0,0,0,0,0,0,0.066666667,0,0.023622047,0,0,0,0,0.624266145,0,0,0,0.057208238,0,0.025575448,0,0.029339853,0,0,0,0.036613272,0.025706941,0,0,0,0,0,0,0,0,0,0,0.078610603,0,0,0,0,0,0,0.029339853,0.082191781,0.102974828,0.036144578,0,0,0,0,0,0,0,0,0.057208238,0.061784897,0.102974828,0,0.028142589
Adenocarcinoma,0,1,0,0,0.167286245,0,0,0,0,0.068493151,0.428571429,0.281437126,0.017828201,0.261627907,0.428571429,0,0,0.264423077,0.016835017,0.01754386,0,0,0,0,0,0,0.021126761,0.044444444,0,0,0.068181818,0.140115163,0.216783217,0,0,0,0,0.025316456,0.254237288,0.066666667,0.096774194,0.083333333,0,0.04109589,0.027027027,0.189873418,0.089552239,0.133757962,0.111111111,0,0,0,0.140115163,0,0.069343066,0.055035129,0.093167702,0.037558685,0.035294118,0,0.019354839,0.058823529,0.031847134,0,0.083333333,0,0.025316456,0,0,0,0.067669173,0,0.026315789,0,0.037037037,0.026315789,0.025316456,0.018987342,0.025316456,0,0.131067961
Alzheimer Disease,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038647343,0,0,0,0.09976247,0,0,0,0,0.353658537,0,0.13368984,0,0,0,0,0,0,0,0,0,0,0,0.040201005,0.047619048,0,0,0,0.15942029,0.045454545,0.102484472,0,0,0,0.329842932,0,0,0.127090301,0.032128514,0,0,0,0,0,0,0,0,0,0.195121951,0,0,0,0,0,0,0
"Arthritis, Rheumatoid",0.049484536,0,0,1,0,0,0,0,0,0.039215686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054474708,0,0,0,0,0,0.102564103,0,0,0.063241107,0,0,0,0,0,0.046632124,0,0.04950495,0,0,0,0.055555556,0.046875,0,0,0.063926941,0,0,0,0,0,0.016574586,0.082191781,0,0,0,0,0,0,0,0.04950495,0,0,0,0.044444444,0,0,0,0,0,0,0,0,0,0,0,0
Astrocytoma,0,0.167286245,0,0,1,0,0,0,0,0.060702875,0.149501661,0.098591549,0.013657056,0.084931507,0.149501661,0,0,0.180778032,0.012578616,0.013774105,0,0,0,0,0,0,0.016393443,0.039370079,0,0,0.056300268,0.431616341,0.478827362,0,0,0,0,0.020771513,0.221789883,0.051546392,0.078066914,0.067961165,0,0.03514377,0.022082019,0.169139466,0.07266436,0.259701493,0.195592287,0,0,0,0.261101243,0,0.094915254,0.063616071,0.078717201,0.033557047,0.030470914,0,0.01510574,0.15942029,0.027811366,0,0.067961165,0,0.020771513,0,0,0,0.052264808,0,0.021538462,0,0.031884058,0.021538462,0.020771513,0.014836795,0.020771513,0,0.11778291
Atherosclerosis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.068493151,0,0,0,0,0.138461538,0,0,0,0.020100503,0,0,0,0,0,0,0,0,0,0,0,0.150943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132352941,0,0,0,0,0,0.076923077,0
Autistic Disorder,0,0,0,0,0,0,1,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0.103448276,0,0,0,0,0,0,0,0,0
Beckwith-Wiedemann Syndrome,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366515837,0.517412935,0,0,0.078947368,0.26405868,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131147541,0,0,0,0,0,0.197452229,0,0,0,0,0,0,0,0.427983539,0,0,0,0.106508876,0,0,0,0,0,0,0,0,0,0,0,0.157894737,0.105263158
Bipolar Disorder,0,0,0,0,0,0,0.066666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0,0.103448276,0,0,0,0,0,0,0,0,0
Breast Neoplasms,0,0.068493151,0,0.039215686,0.060702875,0,0,0,0,1,0.061728395,0.164021164,0.14893617,0.139175258,0.061728395,0,0,0.065217391,0.149560117,0.139896373,0,0,0,0,0,0,0.164634146,0.207920792,0,0,0.191919192,0.057471264,0.066666667,0,0,0,0,0.166666667,0.114285714,0.057324841,0.068493151,0.060240964,0,0.214285714,0.176470588,0.088888889,0.064102564,0.072625698,0.160621762,0,0,0,0.057471264,0,0.166666667,0.181528662,0.092896175,0.178723404,0.1875,0,0.152542373,0.056856187,0.16838488,0,0.060240964,0,0.166666667,0,0.166666667,0,0.058064516,0,0.172413793,0,0.195652174,0.172413793,0.166666667,0.15,0.166666667,0,0.171052632
